10008	7
100134	1
100152	1
10017	15
10026	18
100305	1
10035	13
10044	9
10053	12
1006	1578
10062	16
10071	12
10080	12
100855	1
10099	16
101052	1
10107	12
101124	1
10116	14
101188	1
10125	14
10134	18
10143	7
1015	1492
10152	11
10161	10
10170	8
10189	10
10198	10
10206	12
10215	9
10224	9
10233	13
102376	1
1024	1396
102411	1
10242	6
10251	9
10260	7
102673	1
102682	1
10279	12
10288	23
10297	10
10305	18
10314	18
103186	1
10323	16
1033	1471
10332	11
10341	10
103465	1
10350	9
10369	8
10378	11
103843	1
10387	16
10396	16
104	64823
10404	9
104121	1
10413	8
1042	1464
10422	7
104239	1
10431	8
10440	17
10459	13
10468	12
104761	1
10477	12
10486	10
10495	12
104969	1
104996	1
10503	10
1051	1435
10512	13
10521	9
10530	10
105337	1
10549	10
105553	1
10558	12
10567	12
10576	15
10585	11
105896	1
10594	9
1060	1385
10602	10
10611	13
10620	10
10639	9
10648	11
106552	1
10657	8
10666	10
10675	11
106822	1
10684	15
10693	18
10701	14
10710	17
10729	11
10738	12
10747	6
10756	9
10765	9
10774	11
10783	15
107885	1
1079	1410
10792	7
10800	8
10819	15
10828	5
10837	9
10846	7
108541	1
10855	12
10864	11
10873	12
1088	1373
10882	5
10891	11
108929	1
10909	14
10918	15
109199	1
10927	12
10936	7
10945	8
10954	8
10963	7
1097	1318
10972	7
10981	8
109838	1
10990	9
110007	1
11007	11
11016	13
110197	1
11025	9
11034	6
110421	1
11043	8
110485	1
1105	1387
11052	12
11061	7
110638	1
11070	6
110854	1
11089	17
11098	7
11106	6
11115	6
11124	10
11133	13
1114	1290
11142	10
11151	4
11160	11
111754	1
11179	7
11188	9
11197	4
11205	6
11214	9
11223	7
1123	1299
11232	11
11241	14
112438	1
11250	5
11269	7
11278	12
11287	3
11296	9
113	60173
11304	10
11313	16
1132	1256
11322	10
11331	11
11340	8
113464	1
11359	11
11368	12
11377	4
11386	14
11395	6
11403	10
1141	1290
11412	10
